  0%|                                                                              | 0/940 [00:00<?, ?it/s]/home/ubuntu/ejpark/embed_train/lib/python3.10/site-packages/transformers/tokenization_utils_base.py:2906: UserWarning: `max_length` is ignored when `padding`=`True` and there is no truncation strategy. To pad to max length, use `padding='max_length'`.
  warnings.warn(
Could not estimate the number of tokens of the input, floating-point operations will not be computed
                                                                                                           
{'loss': 0.0278, 'grad_norm': 1.9729706048965454, 'learning_rate': 5.1e-06, 'epoch': 0.27}
{'loss': 0.029, 'grad_norm': 3.0841898918151855, 'learning_rate': 5.2e-06, 'epoch': 0.28}
{'loss': 0.0223, 'grad_norm': 2.48960018157959, 'learning_rate': 5.300000000000001e-06, 'epoch': 0.28}
{'loss': 0.0314, 'grad_norm': 2.2924141883850098, 'learning_rate': 5.400000000000001e-06, 'epoch': 0.29}
{'loss': 0.0089, 'grad_norm': 0.6638575792312622, 'learning_rate': 5.500000000000001e-06, 'epoch': 0.29}
{'loss': 0.0215, 'grad_norm': 1.7762864828109741, 'learning_rate': 5.600000000000001e-06, 'epoch': 0.3}
{'loss': 0.0221, 'grad_norm': 1.9139174222946167, 'learning_rate': 5.7e-06, 'epoch': 0.3}
{'loss': 0.0112, 'grad_norm': 0.9698627591133118, 'learning_rate': 5.8e-06, 'epoch': 0.31}
{'loss': 0.0125, 'grad_norm': 1.3847683668136597, 'learning_rate': 5.9e-06, 'epoch': 0.31}
{'loss': 0.0326, 'grad_norm': 4.754252910614014, 'learning_rate': 6e-06, 'epoch': 0.32}
{'loss': 0.0134, 'grad_norm': 1.4578238725662231, 'learning_rate': 6.1e-06, 'epoch': 0.32}
{'loss': 0.029, 'grad_norm': 3.69167423248291, 'learning_rate': 6.200000000000001e-06, 'epoch': 0.33}
{'loss': 0.0176, 'grad_norm': 2.0142102241516113, 'learning_rate': 6.300000000000001e-06, 'epoch': 0.34}
{'loss': 0.029, 'grad_norm': 3.1962006092071533, 'learning_rate': 6.4000000000000006e-06, 'epoch': 0.34}
{'loss': 0.0174, 'grad_norm': 2.185155153274536, 'learning_rate': 6.5000000000000004e-06, 'epoch': 0.35}
{'loss': 0.0202, 'grad_norm': 2.3953051567077637, 'learning_rate': 6.600000000000001e-06, 'epoch': 0.35}
{'loss': 0.0154, 'grad_norm': 2.675802707672119, 'learning_rate': 6.700000000000001e-06, 'epoch': 0.36}
{'loss': 0.0546, 'grad_norm': 6.038408279418945, 'learning_rate': 6.800000000000001e-06, 'epoch': 0.36}
{'loss': 0.0085, 'grad_norm': 1.0005203485488892, 'learning_rate': 6.9e-06, 'epoch': 0.37}
{'loss': 0.0302, 'grad_norm': 3.054631233215332, 'learning_rate': 7e-06, 'epoch': 0.37}
{'loss': 0.0062, 'grad_norm': 0.7596139907836914, 'learning_rate': 7.100000000000001e-06, 'epoch': 0.38}
{'loss': 0.0119, 'grad_norm': 1.4366966485977173, 'learning_rate': 7.2000000000000005e-06, 'epoch': 0.38}
{'loss': 0.0374, 'grad_norm': 3.625764846801758, 'learning_rate': 7.3e-06, 'epoch': 0.39}
{'loss': 0.0139, 'grad_norm': 2.3554794788360596, 'learning_rate': 7.4e-06, 'epoch': 0.39}
{'loss': 0.0085, 'grad_norm': 1.1466127634048462, 'learning_rate': 7.500000000000001e-06, 'epoch': 0.4}
{'loss': 0.0081, 'grad_norm': 1.2792631387710571, 'learning_rate': 7.600000000000001e-06, 'epoch': 0.4}
{'loss': 0.0048, 'grad_norm': 0.5655971169471741, 'learning_rate': 7.7e-06, 'epoch': 0.41}
{'loss': 0.0244, 'grad_norm': 3.506243944168091, 'learning_rate': 7.800000000000002e-06, 'epoch': 0.41}
{'loss': 0.0189, 'grad_norm': 3.0096490383148193, 'learning_rate': 7.9e-06, 'epoch': 0.42}
{'loss': 0.0278, 'grad_norm': 4.26558780670166, 'learning_rate': 8.000000000000001e-06, 'epoch': 0.43}
{'loss': 0.0078, 'grad_norm': 0.9597818851470947, 'learning_rate': 8.1e-06, 'epoch': 0.43}
{'loss': 0.0041, 'grad_norm': 0.6564928889274597, 'learning_rate': 8.2e-06, 'epoch': 0.44}
{'loss': 0.0182, 'grad_norm': 3.8041419982910156, 'learning_rate': 8.3e-06, 'epoch': 0.44}
{'loss': 0.0131, 'grad_norm': 2.5007965564727783, 'learning_rate': 8.400000000000001e-06, 'epoch': 0.45}
{'loss': 0.0046, 'grad_norm': 0.7018274664878845, 'learning_rate': 8.5e-06, 'epoch': 0.45}
{'loss': 0.0062, 'grad_norm': 1.8826676607131958, 'learning_rate': 8.6e-06, 'epoch': 0.46}
{'loss': 0.0034, 'grad_norm': 0.5830227732658386, 'learning_rate': 8.700000000000001e-06, 'epoch': 0.46}
{'loss': 0.0052, 'grad_norm': 0.9994480013847351, 'learning_rate': 8.8e-06, 'epoch': 0.47}
{'loss': 0.006, 'grad_norm': 1.1274642944335938, 'learning_rate': 8.900000000000001e-06, 'epoch': 0.47}
{'loss': 0.0086, 'grad_norm': 1.6325613260269165, 'learning_rate': 9e-06, 'epoch': 0.48}
{'loss': 0.0054, 'grad_norm': 0.9409846663475037, 'learning_rate': 9.100000000000001e-06, 'epoch': 0.48}
{'loss': 0.0226, 'grad_norm': 4.186848163604736, 'learning_rate': 9.200000000000002e-06, 'epoch': 0.49}
{'loss': 0.0165, 'grad_norm': 3.3161869049072266, 'learning_rate': 9.3e-06, 'epoch': 0.49}
{'loss': 0.011, 'grad_norm': 2.451251983642578, 'learning_rate': 9.4e-06, 'epoch': 0.5}
{'loss': 0.036, 'grad_norm': 4.869434356689453, 'learning_rate': 9.5e-06, 'epoch': 0.51}
{'loss': 0.0027, 'grad_norm': 0.5695098638534546, 'learning_rate': 9.600000000000001e-06, 'epoch': 0.51}
{'loss': 0.0155, 'grad_norm': 3.397022008895874, 'learning_rate': 9.7e-06, 'epoch': 0.52}
{'loss': 0.0109, 'grad_norm': 3.604687213897705, 'learning_rate': 9.800000000000001e-06, 'epoch': 0.52}
{'loss': 0.069, 'grad_norm': 8.981329917907715, 'learning_rate': 9.9e-06, 'epoch': 0.53}
{'loss': 0.0064, 'grad_norm': 1.5060769319534302, 'learning_rate': 1e-05, 'epoch': 0.53}
  warnings.warn(
                                                                                                           
{'loss': 0.0195, 'grad_norm': 5.484529495239258, 'learning_rate': 9.988095238095239e-06, 'epoch': 0.54}
{'loss': 0.0117, 'grad_norm': 2.2625319957733154, 'learning_rate': 9.976190476190477e-06, 'epoch': 0.54}
{'loss': 0.0034, 'grad_norm': 0.5908545255661011, 'learning_rate': 9.964285714285714e-06, 'epoch': 0.55}
{'loss': 0.0146, 'grad_norm': 4.082667827606201, 'learning_rate': 9.952380952380954e-06, 'epoch': 0.55}
{'loss': 0.0032, 'grad_norm': 1.917404294013977, 'learning_rate': 9.940476190476192e-06, 'epoch': 0.56}
{'loss': 0.0052, 'grad_norm': 0.846890389919281, 'learning_rate': 9.92857142857143e-06, 'epoch': 0.56}
{'loss': 0.0088, 'grad_norm': 1.7367899417877197, 'learning_rate': 9.916666666666668e-06, 'epoch': 0.57}
{'loss': 0.0023, 'grad_norm': 0.5019140839576721, 'learning_rate': 9.904761904761906e-06, 'epoch': 0.57}
{'loss': 0.0062, 'grad_norm': 1.2801575660705566, 'learning_rate': 9.892857142857143e-06, 'epoch': 0.58}
{'loss': 0.0065, 'grad_norm': 1.3175675868988037, 'learning_rate': 9.880952380952381e-06, 'epoch': 0.59}
{'loss': 0.0019, 'grad_norm': 0.3801223337650299, 'learning_rate': 9.869047619047621e-06, 'epoch': 0.59}
{'loss': 0.0059, 'grad_norm': 1.6866501569747925, 'learning_rate': 9.857142857142859e-06, 'epoch': 0.6}
{'loss': 0.006, 'grad_norm': 1.461190938949585, 'learning_rate': 9.845238095238097e-06, 'epoch': 0.6}
{'loss': 0.005, 'grad_norm': 1.1249420642852783, 'learning_rate': 9.833333333333333e-06, 'epoch': 0.61}
{'loss': 0.0017, 'grad_norm': 0.3758416175842285, 'learning_rate': 9.821428571428573e-06, 'epoch': 0.61}
{'loss': 0.0125, 'grad_norm': 2.776329755783081, 'learning_rate': 9.80952380952381e-06, 'epoch': 0.62}
{'loss': 0.0073, 'grad_norm': 1.8994051218032837, 'learning_rate': 9.797619047619048e-06, 'epoch': 0.62}
{'loss': 0.0159, 'grad_norm': 4.003180980682373, 'learning_rate': 9.785714285714286e-06, 'epoch': 0.63}
{'loss': 0.0057, 'grad_norm': 1.6957676410675049, 'learning_rate': 9.773809523809524e-06, 'epoch': 0.63}
{'loss': 0.006, 'grad_norm': 1.23396897315979, 'learning_rate': 9.761904761904762e-06, 'epoch': 0.64}
{'loss': 0.0178, 'grad_norm': 3.9170684814453125, 'learning_rate': 9.75e-06, 'epoch': 0.64}
{'loss': 0.0094, 'grad_norm': 7.813007354736328, 'learning_rate': 9.73809523809524e-06, 'epoch': 0.65}
{'loss': 0.0065, 'grad_norm': 1.824878215789795, 'learning_rate': 9.726190476190477e-06, 'epoch': 0.65}
{'loss': 0.0104, 'grad_norm': 2.365326404571533, 'learning_rate': 9.714285714285715e-06, 'epoch': 0.66}
{'loss': 0.0159, 'grad_norm': 7.184747219085693, 'learning_rate': 9.702380952380953e-06, 'epoch': 0.66}
{'loss': 0.0054, 'grad_norm': 1.015537977218628, 'learning_rate': 9.690476190476191e-06, 'epoch': 0.67}
{'loss': 0.0048, 'grad_norm': 1.1263630390167236, 'learning_rate': 9.678571428571429e-06, 'epoch': 0.68}
{'loss': 0.004, 'grad_norm': 1.1594369411468506, 'learning_rate': 9.666666666666667e-06, 'epoch': 0.68}
{'loss': 0.0107, 'grad_norm': 2.7107579708099365, 'learning_rate': 9.654761904761906e-06, 'epoch': 0.69}
{'loss': 0.0096, 'grad_norm': 2.9710614681243896, 'learning_rate': 9.642857142857144e-06, 'epoch': 0.69}
{'loss': 0.0075, 'grad_norm': 1.516676425933838, 'learning_rate': 9.630952380952382e-06, 'epoch': 0.7}
{'loss': 0.0033, 'grad_norm': 1.0392111539840698, 'learning_rate': 9.61904761904762e-06, 'epoch': 0.7}
{'loss': 0.0055, 'grad_norm': 1.1768898963928223, 'learning_rate': 9.607142857142858e-06, 'epoch': 0.71}
{'loss': 0.0036, 'grad_norm': 1.0084596872329712, 'learning_rate': 9.595238095238096e-06, 'epoch': 0.71}
{'loss': 0.01, 'grad_norm': 2.708538293838501, 'learning_rate': 9.583333333333335e-06, 'epoch': 0.72}
{'loss': 0.0139, 'grad_norm': 4.920413494110107, 'learning_rate': 9.571428571428573e-06, 'epoch': 0.72}
{'loss': 0.0024, 'grad_norm': 0.683025598526001, 'learning_rate': 9.559523809523811e-06, 'epoch': 0.73}
{'loss': 0.0046, 'grad_norm': 1.7283450365066528, 'learning_rate': 9.547619047619049e-06, 'epoch': 0.73}
{'loss': 0.0063, 'grad_norm': 1.6406073570251465, 'learning_rate': 9.535714285714287e-06, 'epoch': 0.74}
{'loss': 0.0128, 'grad_norm': 2.554734468460083, 'learning_rate': 9.523809523809525e-06, 'epoch': 0.74}
